Ziyech,Watkins,Lamptey,Martinez,DeBruyne,Dias,Cancelo,Robertson,Brewster,Ayling,Fernandes,Son,Soucek,Calvert-Lewin,Steer
Robertson,,,,,,,,,,,,,,
Maguire,,,,,,,,,,,,,,
Fernandes,Ziyech,Maguire,Calvert-Lewin,Martinez,Lamptey,Dias,DeBruyne,Son,Watkins,Brewster,Soucek,Cancelo,Ayling,Steer
Ayling,,,,,,,,,,,,,,
Laporte,,,,,,,,,,,,,,
DeBruyne,Fernandes,Calvert-Lewin,Castagne,Laporte,Dias,Martinez,Son,Brewster,Watkins,Soucek,Ziyech,Lamptey,Maguire,Steer
Maguire,Steer,,,,,,,,,,,,,
Darlow,Lewis,,,,,,,,,,,,,
DeBruyne,Fernandes,Laporte,Dias,Watkins,Castagne,Darlow,Ziyech,Son,Calvert-Lewin,Brewster,Martinez,Lamptey,Soucek,Lewis
Brewster,Laporte,,,,,,,,,,,,,
Antonio,Stephens,,,,,,,,,,,,,
Son,Fernandes,Antonio,Darlow,Castagne,Lewis,Stephens,Calvert-Lewin,DeBruyne,Ziyech,Soucek,Watkins,Martinez,Dias,Lamptey
Martinez,,,,,,,,,,,,,,
Ederson,,,,,,,,,,,,,,
DeBruyne,Fernandes,Ederson,Dias,Bamford,Lamptey,Castagne,Son,Antonio,Watkins,Darlow,Soucek,Ziyech,Stephens,Lewis
